S     Ant ,EW/KE:    , 6.4  , 6.92 ,2435139.929   ,    0.648345    ,   
T     Ant ,DCEP:     , 8.89 , 9.76 ,2436120.578   ,    5.89771     ,22 
V     Ant ,M         , 9.2  ,12.5  ,2428608.      ,  302.76        ,   
X     Ant ,M         , 9.6  ,12.7  ,2443241.      ,  161.73        ,44 
Y     Ant ,EA/DM     ,10.1  ,10.7  ,2426883.207   ,    3.0519244   ,17 
RS    Ant ,M         ,11.9  ,13.0  ,2430840.      ,  326.51        ,   
RT    Ant ,RRAB      ,13.4  ,14.8  ,2426411.50    ,    0.55294     ,   
RU    Ant ,RRAB      ,14.3  ,15.7  ,2426411.30    ,    0.53914     ,   
RV    Ant ,RRAB      ,13.9  ,15.5  ,2426382.55    ,    0.53490     ,   
RW    Ant ,RR        ,13.9  ,15.0  ,2426382.42    ,    0.36661     ,   
RX    Ant ,M         ,12.2  ,16.2  ,2426050.      ,  242.          ,   
RZ    Ant ,SR        ,13.8  ,16.0  ,2425660.      ,  221.          ,   
SS    Ant ,RRAB      ,13.0  ,14.8  ,2426410.32    ,    0.48371     ,   
ST    Ant ,RRAB      ,13.9  ,15.7  ,2426411.50    ,    0.51950     ,   
SU    Ant ,M:        ,14.6  ,16.2  ,2425250.      ,  350.          ,   
SV    Ant ,M         ,12.8  ,16.0  ,2425620.      ,  297.          ,   
SW    Ant ,EW/KW     ,13.8  ,14.9  ,2425986.50    ,    0.38020     ,   
UY    Ant ,M         ,12.5  ,16.5  ,2428300.      ,  295.          ,   
UZ    Ant ,RRAB      ,13.1  ,14.4  ,2428274.420   ,    0.6003      ,   
VV    Ant ,E/SD      ,13.0  ,14.0  ,2428967.540   ,    0.78418     ,   
VW    Ant ,EA/SD     ,10.2  ,12.5  ,2428275.32    ,    5.5462      ,   
VZ    Ant ,M         ,11.5  ,16.   ,2426481.      ,  441.10        ,   
WW    Ant ,M         ,11.   ,12.5  ,2430525.      ,  263.24        ,   
WY    Ant ,RRAB      ,10.27 ,11.22 ,2440645.303   ,    0.57433095  ,15 
WZ    Ant ,EW/KW     ,11.5  ,11.8  ,2434419.518   ,    0.445854    ,   
XX    Ant ,EB/DM     , 8.7  , 9.2  ,2438441.425   ,    8.1070      ,   
XY    Ant ,EA/DM     , 9.5  ,10.2  ,2428844.550   ,    1.837962    ,   
XZ    Ant ,EA/SD     , 9.6  ,10.8  ,2428216.500   ,    7.15075     ,   
YZ    Ant ,EA/SD:    , 9.4  , 9.9  ,2428873.425   ,    2.152375    ,   
AC    Ant ,M         ,11.   ,14.   ,2428324.      ,  212.86        ,   
