R     Cha ,M         , 7.5  ,14.2  ,2442006.      ,  334.58        ,41 
U     Cha ,M         ,11.0  ,13.5  ,2423210.      ,  341.3         ,   
W     Cha ,M         ,12.   ,16.   ,2439317.      ,  286.3         ,   
RS    Cha ,EA+DSCT   , 6.02 , 6.68 ,2442850.7688  ,    1.669870    ,15 
RV    Cha ,RRAB      ,13.2  ,13.8  ,2436689.260   ,    0.7014      ,15 
RW    Cha ,EW/KE:    ,14.0  ,14.6  ,2436693.32    ,    0.6385      ,   
RY    Cha ,EB/SD     ,13.8  ,14.8  ,2436695.260   ,    1.778       ,   
RZ    Cha ,EA/DM     , 8.2  , 9.1  ,2441401.7711  ,    2.832084    ,11 
SU    Cha ,RRAB      ,14.4  ,15.8  ,2436689.304   ,    0.618757    ,18 
TT    Cha ,RRAB      ,14.8  ,15.8  ,2436685.275   ,    0.5312      ,12 
UW    Cha ,RRAB      ,14.4  ,15.1  ,2436693.270   ,    0.5903      ,15 
XY    Cha ,RRAB      ,15.6  ,16.4  ,2436694.258   ,    0.5093      ,40 
YZ    Cha ,EA/DM     ,11.15 ,11.55,2442145.881   ,    4.457357    ,   
AA    Cha ,EA        ,14.3  ,15.6  ,2436693.38    ,    3.829       ,10 
AC    Cha ,RRAB      ,15.4  ,16.1  ,2436689.271   ,    0.556       ,20 
AE    Cha ,RRAB      ,14.0  ,15.1  ,2436689.320   ,    0.48115     ,10 
AF    Cha ,RRAB      ,15.0  ,16.2  ,2436689.313   ,    0.439       ,20 
AH    Cha ,RRAB      ,15.0  ,15.8  ,2436691.250   ,    0.5683      ,20 
AS    Cha ,EA/SD     ,14.0  ,16.0  ,2436695.250   ,    0.8414      ,18 
AU    Cha ,DSCT      ,15.3  ,15.8  ,2436684.235   ,    0.1752      ,40 
AZ    Cha ,RR        ,13.3  ,14.4  ,2436691.370   ,    0.454       ,   
BN    Cha ,EA/SD     ,14.2  ,15.3  ,2436685.40    ,    6.273       ,08 
BR    Cha ,RRAB      ,13.9  ,15.6  ,2436690.230   ,    1.074       ,16 
BS    Cha ,RRAB      ,14.1  ,15.8  ,2436685.250   ,    0.5181      ,13 
BV    Cha ,CWB       ,12.4  ,13.4  ,2438472.320   ,    1.238       ,25 
BW    Cha ,EA/SD:    ,11.67 ,12.47,2428664.400   ,    2.116255    ,11 
CG    Cha ,EW/KW     ,13.9  ,14.4  ,2436720.335   ,    0.37652     ,   
CH    Cha ,EW/KW     ,14.3  ,15.1  ,2436685.255   ,    0.4394      ,   
CQ    Cha ,CWA       ,13.0  ,13.9  ,2436695.      ,   12.3         ,50 
CX    Cha ,EW/KW     ,15.2  ,15.6  ,2436684.252   ,    0.3604      ,   
CY    Cha ,EW/KW     ,13.5  ,14.0  ,2436685.250   ,    0.4440      ,   
CZ    Cha ,EW        ,14.0  ,14.6  ,2436685.269   ,    0.6250      ,   
DD    Cha ,EW        ,14.2  ,14.7  ,2436684.262   ,    0.5716      ,   
DE    Cha ,RRAB      ,14.5  ,15.4  ,2436684.250   ,    0.3258      ,13 
DG    Cha ,EW/KE:    ,13.8  ,14.6  ,2436684.250   ,    1.0128      ,   
