T     Eri ,M         , 7.2  ,13.2  ,2442079.      ,  252.29        ,45 
U     Eri ,M         , 8.5  ,14.9  ,2440110.      ,  274.91        ,49 
W     Eri ,M         , 7.5  ,14.5  ,2440345.      ,  376.63        ,40 
X     Eri ,M:        ,10.   ,11.   ,2415024.      ,  260.          ,   
Y     Eri ,M         ,10.7  ,13.5  ,2430060.      ,  302.7         ,   
RS    Eri ,M         , 9.2  ,12.8  ,2438048.      ,  296.00        ,   
RT    Eri ,M         , 8.5  ,12.9  ,2429360.      ,  370.8         ,46 
RU    Eri ,EB/KE     , 9.35 ,10.07 ,2442359.3456  ,    0.63219951  ,   
RW    Eri ,SRA       ,10.2  ,11.7  ,2416780.      ,   91.4         ,44 
RX    Eri ,RRAB      , 9.17 ,10.10 ,2421692.479   ,    0.58724622  ,16 
RY    Eri ,EA/SD     ,10.3  ,11.5  ,2425621.58    ,    4.97927     ,10 
RZ    Eri ,EA/DS/RS  , 7.70 , 8.72 ,2443574.083   ,   39.28238     ,05 
SS    Eri ,M         , 9.4  ,13.   ,2434383.      ,  314.4         ,   
SV    Eri ,RRAB      , 9.56 ,10.23 ,2435552.109   ,    0.7137964   ,30 
SW    Eri ,M         , 9.8  ,14.1  ,2438801.      ,  400.69        ,   
SX    Eri ,M         , 9.3  ,13.6  ,2438325.      ,  282.80        ,   
SZ    Eri ,RRAB      ,13.0  ,14.5  ,2424760.840   ,    0.48818     ,   
TT    Eri ,EA/SD     ,12.92 ,14.25 ,2444912.361   ,    1.33537     ,   
TV    Eri ,EA/SD:    ,13.43 ,14.4  ,2424790.790   ,    1.29847     ,   
TW    Eri ,M         ,11.0  ,15.2  ,2433274.      ,  322.2         ,   
TZ    Eri ,EA/SD     , 9.8  ,12.6  ,2442414.263   ,    2.6060653   ,10 
UV    Eri ,M         ,10.5  ,17.   ,2438022.      ,  433.22        ,   
UX    Eri ,EW/KW     ,10.5  ,11.11 ,2441922.3195  ,    0.44527942  ,   
UY    Eri ,CWB       ,10.93 ,11.66 ,2440862.908   ,    2.213235    ,28 
UZ    Eri ,RR        ,12.34 ,13.27 ,2427390.304   ,    0.648618    ,12 
VV    Eri ,EA/SD:    ,11.   ,12.   ,2427342.522   ,    1.557586    ,14 
VZ    Eri ,SR        ,10.5  ,12.5  ,2426628.      ,  282.          ,   
WW    Eri ,EB/KE     ,11.0  ,11.5  ,2426586.453   ,    0.9264970   ,   
WX    Eri ,EA/SD     , 9.38 ,10.28,2427531.687   ,    0.82327038  ,19 
WY    Eri ,RR        ,14.0  ,14.7  ,2424772.80    ,    0.50690     ,   
WZ    Eri ,M         ,12.8  ,16.3  ,2424820.      ,  400.          ,   
XX    Eri ,RRAB      ,14.2  ,15.3  ,2424767.90    ,    0.71016     ,   
XY    Eri ,RRAB      ,12.5  ,13.4  ,2424763.90    ,    0.55425     ,20 
YY    Eri ,EW/KW     , 8.1  , 8.80 ,2441581.624   ,    0.32149415  ,   
YZ    Eri ,RR        ,15.4  ,16.1  ,2424766.85    ,    0.35744     ,   
ZZ    Eri ,E         ,13.9  ,15.0  ,2444244.320   ,    0.4520603   ,   
AA    Eri ,E         ,12.8  ,13.3  ,2424801.80    ,    0.50085     ,   
AB    Eri ,RR        ,14.7  ,15.5  ,2424801.80    ,    0.57400     ,   
AC    Eri ,RRAB      ,13.3  ,14.8  ,2424766.90    ,    0.48207     ,   
AD    Eri ,RRAB      ,14.7  ,16.0  ,2425234.32    ,    0.46988     ,   
AE    Eri ,RR        ,14.5  ,15.2  ,2424798.80    ,    0.62140     ,   
AF    Eri ,SRA:      ,13.4  ,15.7  ,2425520.      ,  250.          ,   
AG    Eri ,RRAB      ,14.0  ,15.4  ,2424763.90    ,    0.51248     ,   
AI    Eri ,RRAB      ,14.7  ,15.8  ,2424766.85    ,    0.61950     ,   
AK    Eri ,E/SD:     ,12.5  ,13.5  ,2444637.341   ,    2.6303      ,   
AL    Eri ,RRAB      ,13.3  ,14.4  ,2425244.35    ,    0.65694     ,   
AM    Eri ,EW/KW     ,14.4  ,15.2  ,2443890.302   ,    0.316576    ,   
AN    Eri ,E         ,14.4  ,15.4  ,2424772.84    ,    0.42821     ,   
AO    Eri ,EA/DS     ,11.8  ,13.8  ,2429631.15    ,    9.2982      ,08 
AP    Eri ,RR        ,14.9  ,15.7  ,2424744.90    ,    0.42114     ,   
AR    Eri ,M         ,13.5  ,16.5  ,2426640.      ,  130.          ,   
AS    Eri ,EA/SD     , 8.29 , 9.00 ,2428538.066   ,    2.664152    ,09 
BB    Eri ,RRAB      ,10.96 ,11.91 ,2439559.291   ,    0.569898    ,12 
BH    Eri ,SR        ,10.7  ,12.5  ,2428876.      ,   89.9         ,42 
BI    Eri ,SR        ,11.1  ,12.2  ,2427387.      ,  135.6         ,37 
BK    Eri ,RRAB      ,12.00 ,13.05 ,2437911.475   ,    0.5481494   ,12 
BL    Eri ,EW/KE     ,11.5  ,12.2  ,2429232.082   ,    0.4162      ,   
BQ    Eri ,EB/DM     ,10.5  ,11.   ,2431156.790   ,    1.429712    ,   
