R     For ,M         , 7.5  ,13.0  ,2441974.      ,  388.73        ,52 
U     For ,M         , 9.8  ,15.0  ,2440202.      ,  318.50        ,   
V     For ,EA/SD     ,14.05 ,17.0  ,2425202.410   ,    3.3065      ,   
W     For ,E         ,12.9  ,13.7  ,2442363.440   ,    0.6179073   ,   
Z     For ,RR        ,12.2  ,13.0  ,2424759.830   ,    0.37044     ,   
RR    For ,RR        ,13.1  ,13.9  ,2424760.870   ,    0.3898      ,   
RW    For ,RRAB      ,14.6  ,16.0  ,2424758.860   ,    0.5485      ,   
RX    For ,RRAB      ,11.12 ,12.46 ,2439831.387   ,    0.597314    ,14 
RY    For ,EB/SD:    ,12.23 ,13.4  ,2427424.195   ,    0.4855      ,   
RZ    For ,SRA       , 9.2  ,10.0  ,2428075.      ,   64.6         ,   
SS    For ,RRAB      , 9.45 ,10.60 ,2438668.951   ,    0.495432    ,17 
ST    For ,SRA       , 8.71 ,10.34 ,2441020.      ,  277.0         ,   
SU    For ,EA/SD     , 9.5  ,11.0  ,2444891.6639  ,    2.434665    ,12 
SV    For ,SRD       ,10.8  ,11.9  ,2425637.      ,   87.24        ,   
SW    For ,RRAB      ,11.99 ,12.62 ,2434343.590   ,    0.803740    ,22 
SX    For ,RRAB      ,10.68 ,11.38 ,2439158.231   ,    0.6053397   ,16 
TU    For ,RRAB      ,14.1  ,15.5  ,2438401.566   ,    0.4712517   ,23 
TV    For ,RRAB      ,13.3  ,15.0  ,2438401.462   ,    0.4077471   ,15 
TW    For ,RRAB      ,13.6  ,15.1  ,2438401.279   ,    0.4791230   ,20 
nu    For ,ACV       , 4.68 , 4.73 ,2443475.00    ,    1.89        ,   
