R     Leo ,M         , 4.4  ,11.3  ,2444164.      ,  309.95        ,43 
S     Leo ,M         , 9.0  ,14.5  ,2443591.      ,  190.16        ,47 
V     Leo ,M         , 8.4  ,14.6  ,2442706.      ,  273.35        ,44 
W     Leo ,M         , 8.9  ,14.8  ,2443627.      ,  391.75        ,35 
Y     Leo ,EA/SD     ,10.09 ,13.20 ,2445436.451   ,    1.6861020   ,14 
Z     Leo ,SRB       , 9.9  ,11.5  ,2436717.      ,   56.83        ,47 
RR    Leo ,RRAB      , 9.94 ,11.27 ,2443295.402   ,    0.4523933   ,13 
RS    Leo ,M         ,10.7  ,16.0  ,2445020.      ,  208.2         ,31 
RT    Leo ,EA/SD     ,10.3  ,11.6  ,2423844.037   ,    7.447906    ,13 
RV    Leo ,RRAB      ,13.26 ,14.41 ,2439154.957   ,    0.5150975   ,14 
RW    Leo ,EA/SD     ,11.9  ,13.6  ,2443324.73087 ,    1.6825565   ,14 
RX    Leo ,RRAB      ,11.56 ,12.27 ,2436306.383   ,    0.6534122   ,23 
SS    Leo ,RRAB      ,10.38 ,11.56 ,2441781.409   ,    0.6263441   ,12 
ST    Leo ,RRAB      ,10.74 ,12.02 ,2427923.118   ,    0.4779843   ,15 
SU    Leo ,RRAB      ,12.80 ,13.99 ,2424170.572   ,    0.472266    ,17 
SV    Leo ,M         ,12.3  ,16.5  ,2430076.      ,  307.0         ,37 
SW    Leo ,RRAB      ,12.5  ,13.5  ,2427150.245   ,    0.554152    ,   
SX    Leo ,SRB       , 9.15 ,10.5  ,2440644.      ,  100.          ,   
SZ    Leo ,RRAB      ,11.91 ,12.79 ,2445467.291   ,    0.53406125  ,14 
TV    Leo ,RRAB      ,11.46 ,12.56 ,2437041.390   ,    0.6728526   ,12 
TW    Leo ,M:        ,12.9  ,14.   ,2426668.      ,  309.          ,   
TX    Leo ,EA/DM     , 5.66 , 5.75 ,2438844.3055  ,    2.4450566   ,11 
TY    Leo ,EA        ,10.5  ,11.   ,2425743.47    ,    1.18466     ,   
TZ    Leo ,M         ,12.   ,15.   ,2435475.      ,  331.5         ,   
UU    Leo ,EA/SD     ,11.4  ,12.7  ,2445397.456   ,    1.6797409   ,10 
UV    Leo ,EA/DW     , 8.90 , 9.56 ,2438440.72633 ,    0.60008478  ,18 
UX    Leo ,EA/SD:    ,10.3  ,11.1  ,2437376.430   ,    1.007172    ,12 
UZ    Leo ,EW/KE     , 9.58 ,10.15 ,2439800.373   ,    0.6180428   ,   
VV    Leo ,SR        , 9.3  ,10.21 ,2428215.      ,  181.5         ,   
VZ    Leo ,EA/SD     ,11.8  ,12.9  ,2431164.316   ,    1.089906    ,22 
WW    Leo ,RRAB      ,12.08 ,12.87 ,2434882.394   ,    0.60284527  ,17 
WY    Leo ,EA/D      ,11.1  ,11.7  ,2428552.47    ,    4.985778    ,10 
WZ    Leo ,EA/D      ,11.3  ,12.0  ,2431162.50    ,    1.405570    ,12 
XX    Leo ,EB        ,11.1  ,11.7  ,2431169.418   ,    0.97094     ,   
XY    Leo ,EW/KW     , 9.45 , 9.93 ,2445074.4906  ,    0.2840969   ,   
XZ    Leo ,EW/KE     ,10.6  ,11.2  ,2445025.358   ,    0.4877351   ,   
ZZ    Leo ,SRB       ,10.3  ,11.6  ,2425359.      ,  148.          ,40 
AA    Leo ,RRAB      ,11.61 ,12.83 ,2439596.655   ,    0.5986557   ,14 
AB    Leo ,SRD       ,10.7  ,13.2  ,2434855.      ,  130.2         ,   
AE    Leo ,RRAB      ,11.6  ,12.8  ,2419839.590   ,    0.626723    ,20 
AG    Leo ,EA/D      ,10.7  ,11.2  ,2426651.635   ,    3.392498    ,10 
AL    Leo ,EA/D      ,10.2  ,10.6  ,2426115.9     ,    4.1444      ,   
AM    Leo ,EW/KW     , 9.25 , 9.83 ,2442493.389   ,    0.36579740  ,   
AN    Leo ,RRAB      ,11.8  ,12.9  ,2419858.407   ,    0.5720244   ,18 
AO    Leo ,M:        ,12.5  ,15.   ,2426720.      ,  150.          ,   
AP    Leo ,EW/KW     , 9.32 , 9.91 ,2439536.542   ,    0.4303576   ,   
AQ    Leo ,RR(B)     ,12.37 ,13.15 ,2441766.480   ,    0.5497508   ,   
AS    Leo ,RRAB      ,12.8  ,14.1  ,2425304.490   ,    0.545023    ,20 
AT    Leo ,RRAB      ,16.4  ,17.9  ,2438463.454   ,    0.463764    ,10 
AV    Leo ,RRAB      ,14.8  ,16.7  ,2426331.540   ,    0.500280    ,20 
AW    Leo ,RRAB      ,14.9  ,16.4  ,2438112.508   ,    0.627701    ,14 
AX    Leo ,RRAB      ,11.8  ,12.3  ,2425244.703   ,    0.726828    ,18 
AY    Leo ,RRAB      ,15.1  ,16.7  ,2437651.657   ,    0.470433    ,12 
