R     TrA ,DCEP      , 6.33 , 7.00 ,2440838.21    ,    3.389287    ,30 
S     TrA ,DCEP      , 5.95 , 6.81 ,2440734.45    ,    6.32344     ,28 
U     TrA ,CEP(B)    , 7.30 , 8.29 ,2443267.14    ,    2.568423    ,34 
W     TrA ,M         , 9.4  ,12.5  ,2411441.      ,  248.7         ,   
Y     TrA ,M         ,11.0  ,16.0  ,2424710.      ,  323.          ,   
Z     TrA ,M         , 9.8  ,12.5  ,2429710.      ,  150.55        ,   
RR    TrA ,EA/SD     ,10.36 ,11.85 ,2435629.36932 ,    0.71309172  ,20 
RS    TrA ,M:        ,10.1  ,11.5  ,2424408.      ,  436.4         ,   
RT    TrA ,CWB       , 9.43 ,10.18 ,2441922.54    ,    1.9461124   ,40 
RU    TrA ,M         , 9.8  ,13.5  ,2415214.      ,  326.5         ,   
RW    TrA ,RRAB      ,10.89 ,11.66 ,2441489.292   ,    0.3740438   ,20 
RX    TrA ,M         ,12.0  ,15.5  ,2425382.      ,  274.          ,   
RY    TrA ,M         ,14.0  ,16.5  ,2424670.      ,  252.          ,   
RZ    TrA ,E/SD:     ,15.3  ,16.1  ,2424320.695   ,    1.5507      ,   
SS    TrA ,EA/SD:    ,10.5  ,11.3  ,2428387.28    ,    1.72043     ,   
TX    TrA ,M         ,11.5  ,16.5  ,2424680.      ,  276.          ,   
TZ    TrA ,M         ,14.5  ,16.5  ,2423961.      ,  316.          ,   
WW    TrA ,M:        ,15.0  ,16.4  ,2424655.      ,  312.          ,   
WY    TrA ,M         ,14.5  ,16.5  ,2424710.      ,  323.          ,   
XZ    TrA ,M:        ,15.0  ,16.5  ,2423961.      ,  136.8         ,   
YZ    TrA ,M:        ,14.7  ,16.5  ,2424710.      ,  172.          ,   
ZZ    TrA ,SR        ,14.5  ,16.4  ,2424320.      ,  243.          ,   
AD    TrA ,E/SD:     ,13.8  ,14.7  ,2424320.631   ,    1.2604      ,   
AK    TrA ,M:        ,15.0  ,16.5  ,2424710.      ,  325.          ,   
AL    TrA ,SR        ,14.8  ,16.5  ,2423914.      ,  295.          ,   
AN    TrA ,M         ,13.7  ,16.5  ,2423905.      ,  295.          ,   
AO    TrA ,SR        ,14.0  ,16.0  ,2424710.      ,  266.          ,   
AP    TrA ,RRAB      ,15.0  ,16.3  ,2424710.501   ,    0.48786     ,   
AS    TrA ,E/KW:     ,15.1  ,15.9  ,2424654.708   ,    0.344108    ,   
AT    TrA ,RR        ,13.8  ,15.5  ,2424320.631   ,    0.6078      ,   
AU    TrA ,RR        ,14.5  ,15.3  ,2424710.563   ,    0.4231      ,   
AV    TrA ,RR        ,14.4  ,15.8  ,2424653.716   ,    0.39907     ,   
AW    TrA ,RRAB      ,14.5  ,16.2  ,2424653.716   ,    0.51285     ,   
AZ    TrA ,E         ,13.0  ,13.4  ,2424298.734   ,    1.2004      ,   
BB    TrA ,M:        ,15.3  ,17.   ,2436725.      ,  264.1         ,   
BC    TrA ,RRAB      ,13.7  ,15.0  ,2424654.708   ,    0.5097      ,   
BD    TrA ,SR        ,14.7  ,16.5  ,2423905.      ,  171.          ,   
BE    TrA ,SR:       ,13.3  ,15.0  ,2424320.      ,  155.          ,   
BH    TrA ,RR        ,14.2  ,15.7  ,2424649.654   ,    0.5025      ,   
BI    TrA ,RR        ,14.9  ,15.8  ,2424650.657   ,    0.4584      ,   
BK    TrA ,RRAB      ,14.5  ,15.8  ,2424292.749   ,    0.5738      ,   
BM    TrA ,M         ,13.0  ,16.5  ,2423948.      ,  287.          ,   
BN    TrA ,M         ,13.0  ,16.5  ,2423905.      ,  298.          ,   
BP    TrA ,M:        ,15.0  ,17.   ,2424670.      ,  279.5         ,   
BQ    TrA ,RRAB      ,14.5  ,16.0  ,2423992.546   ,    0.5034      ,   
BS    TrA ,SR        ,14.9  ,16.5  ,2424680.      ,  335.          ,   
