S     UMi ,M         , 7.5  ,13.2  ,2445931.      ,  331.0         ,50 
T     UMi ,M         , 7.8  ,15.0  ,2445761.      ,  301.0         ,45 
U     UMi ,M         , 7.1  ,13.0  ,2445418.      ,  330.92        ,50 
W     UMi ,EA/SD     , 8.51 , 9.59 ,2433682.323   ,    1.7011576   ,23 
X     UMi ,M         ,12.5  ,18.4  ,2443530.      ,  338.0         ,36 
Y     UMi ,M         ,11.2  ,14.0  ,2427892.      ,  293.          ,   
Z     UMi ,M:        ,11.   ,14.   ,2426040.      ,  475.          ,   
RS    UMi ,EA/D/RS   ,10.81 ,11.4  ,2444756.734   ,    6.16862258  ,12 
RT    UMi ,EA/SD     ,10.79 ,11.47 ,2441306.2902  ,    1.841962    ,20 
RU    UMi ,EB/DW     ,10.0  ,10.66 ,2441596.3365  ,    0.52492618  ,   
RV    UMi ,M         ,11.5  ,16.   ,2427485.      ,  304.          ,   
RX    UMi ,RRAB      ,12.8  ,14.2  ,2427157.390   ,    0.490442    ,35 
RZ    UMi ,EW/KW     ,12.8  ,13.5  ,2443191.2687  ,    0.33735283  ,   
alf   UMi ,DCEPS     , 1.86 , 2.13 ,2431495.813   ,    3.9696      ,50 
gam   UMi ,DSCTC     , 3.04 , 3.09,2439950.367   ,    0.143009    ,   
eps   UMi ,EA/D/RS   , 4.19 , 4.23 ,2433077.75    ,   39.4809      ,04 
