HIP   |HD    |BD         |HR  |Fl |Bayer|Comp  |RA          |Dec         |Px    |pmRA    |pmDe    |SpType                    |RV     |mB    |mV   |mI    |B-V   |Cst|Star name                 |FlN    |BaN      |
    25|224750|CD-44 15420|9077|   |     |AB    |  0.07936602|-44.29029730| 12.29|   61.70| -107.10|G5IV                      |   3.00| 9.582| 9.10| 8.580| 0.482|Psc|                          |       |         |
    34|224758|BD+26 4727 |9078|   |     |AB    |  0.09946987| 26.91823820| 13.40|   43.60|  -51.50|F8V                       | -18.00|10.269| 9.27| 8.338| 0.999|Cet|                          |       |         |
    43|224784|BD+58 2685 |9079|   |     |      |  0.12908906| 59.55973786|  7.34|  -80.74|  -23.69|K2III                     | -33.30| 6.591| 6.61| 6.621|-0.019|And|                          |       |         |
    63|224801|BD+44 4538 |9080|   |Cg   |      |  0.18174967| 45.25333300|  5.32|   17.42|    0.03|A0IIspSiSrHg              |  -1.00| 8.430| 8.06| 7.662| 0.370|Phe|                          |       |CgPhe    |
    88|224834|CD-49 14316|9081|   |Tau  |      |  0.26915945|-48.80985914|  5.50|  -18.18|   -5.91|G6/8 III                  |   8.00| 9.452| 8.55| 7.756| 0.902|Phe|                          |       |TauPhe   |
   106|224870|BD+49 4309 |9083|   |     |      |  0.33016475| 49.98158502|  5.01|   13.46|  -11.70|G7II-III                  | -19.80|13.646|12.31|10.760| 1.336|Psc|                          |       |         |
   107|224865|CD-51 13743|9082|   |     |      |  0.33380178|-50.33739916|  6.01|    7.96|   11.29|M2 III                    |   2.30|10.380| 9.64| 8.600| 0.740|Peg|                          |       |         |
   122|224889|CP-77  1596|9084|   |The  |      |  0.39937881|-77.06529443| 15.02|  -57.31| -177.05|K3III                     |  22.60|10.152| 9.05| 5.231| 1.102|Peg|                          |       |ThePeg   |
   124|224893|BD+60 2657 |9085|   |     |      |  0.40424529| 61.22280390|  1.06|   -3.02|   -0.73|A8II                      | -25.10| 9.657| 8.59| 7.681| 1.067|And|                          |       |         |
   137|224906|BD+41 4920 |9086|   |     |      |  0.43268934| 42.36714830|  2.67|    5.44|   -1.98|B9   IIIP.(HGMN)          |  -9.60| 9.079| 8.59| 8.070| 0.489|Phe|                          |       |         |
   145|224926|BD-03 5749 |9087|29 |     |      |  0.45598909| -3.02747915|  7.18|   19.10|   -9.67|B8 II/III                 |  23.00| 7.421| 7.34| 7.274| 0.081|And|                          |29And  |         |
   154|224935|BD-06 6345 |9089|30 |     |      |  0.48996493| -6.01397145|  7.55|   46.20|  -41.10|M2 III                    | -11.70| 9.914| 8.43| 7.088| 1.484|Scl|                          |30Scl  |         |
   171|224930|BD+26 4734 |9088|85 |     |AB    |  0.54018854| 27.08448917| 82.17|  829.90| -989.40|G5V Fe-1                  | -36.22| 9.928| 8.80| 7.797| 1.128|Cet|                          |85Cet  |         |
   183|224990|CD-30 19790|9091|   |Zet  |AB    |  0.58297533|-29.72044838|  6.49|   12.60|   14.60|B5V                       |   8.60| 8.450| 7.25| 6.236| 1.200|Psc|                          |       |ZetPsc   |
   186|224995|BD+08 5164 |9092|31 |     |      |  0.60069765|  8.95683357|  8.14|   -0.96|   -3.69|A7:IV                     |   9.20| 9.766| 8.60| 7.609| 1.166|Cas|                          |31Cas  |         |
   194|225003|BD+07 5121 |9093|32 |C    |      |  0.62398923|  8.48557840| 27.10|  -94.16|  -47.43|F1V                       |   9.20|12.131|11.71|11.220| 0.421|Phe|                          |32Phe  |CPhe     |
   207|225009|BD+65 1987 |9094|   |     |A     |  0.65034381| 66.09896232|  0.73|    7.40|    1.50|G9III                     | -16.90| 8.575| 8.15| 7.697| 0.425|Phe|                          |       |         |
   238|225045|BD-20 6703 |9095|   |     |      |  0.73927406|-20.04607413| 16.35|  101.22|   78.09|F6/7 V                    |  -4.20|12.597|11.03| 9.540| 1.567|Psc|                          |       |         |
   253|225069|CD-24 17960|9096|   |     |      |  0.78257286|-24.14513781|  4.91|   55.11|   -1.76|K1 III                    |  25.20| 7.485| 6.53| 5.690| 0.955|And|                          |       |         |
   274|225094|BD+62 2356 |9097|   |     |AB    |  0.85715514| 63.64052497|  1.31|   -3.90|    0.20|B2.9Iab                   | -41.30| 9.026| 8.51| 7.959| 0.516|Peg|                          |       |         |
   301|225132|BD-18 6417 |9098|2  |     |      |  0.93488525|-17.33596994| 11.98|   25.17|   -9.16|B9IVn                     |   8.00| 8.988| 7.55| 6.259| 1.438|Psc|                          |2Psc   |         |
   302|225136|BD+65 1993 |9099|   |     |      |  0.96511472| 66.71220286|  3.76|    9.41|   -8.20|M3                        |  15.10| 9.652| 8.69| 7.853| 0.962|Phe|                          |       |         |
   330|225180|BD+61 2586 |9100|9  |     |A     |  1.05693208| 62.28766468|  0.84|   -1.31|    0.11|A1IVp lambda Boo          | -16.90| 8.026| 7.57| 7.076| 0.456|Peg|                          |9Peg   |         |
   343|225197|BD-17 6868 |9101|   |     |      |  1.08233960|-16.52888977| 11.03|   51.80|  -58.90|K0 III                    |  25.86| 9.578| 9.05| 8.503| 0.528|Cet|                          |       |         |
   345|225200|CD-29 18950|9102|   |     |      |  1.08457416|-29.26883034|  8.01|   28.61|    4.05|B9IVs + A2n               |  18.40| 7.043| 6.28| 5.575| 0.763|Phe|                          |       |         |
   355|225212|BD-11 6194 |9103|3  |     |      |  1.12550974|-10.50949437|  1.56|   -6.80|  -12.03|K3 III                    | -41.80| 9.665| 9.13| 8.569| 0.535|Cet|                          |3Cet   |         |
   357|225233|CP-73  2346|9106|   |     |      |  1.12719359|-72.89722079| 10.66|   10.47|  -41.35|F2V                       |  10.00| 9.991| 9.32| 8.659| 0.671|Phe|                          |       |         |
