MPCORB extract of the first 5000 numbered asteroids.
For use with Cartes du Ciel / Skychart software. 
 
MINOR PLANET CENTER ORBIT DATABASE (MPCORB)   File prepared 2013 Mar. 9

This file contains published orbital elements for all numbered and unnumbered
multi-opposition minor planets for which it is possible to make reasonable
predictions.  It also includes published elements for recent one-opposition
minor planets and is intended to be complete through the last issued Daily
Orbit Update MPEC.  As such it is intended to be of interest primarily
to astrometric observers.

   Software programs may include this datafile amongst their datasets, as
   long as this header is included (it is acceptable if it is contained
   in a file separate from the actual data) and that proper attribution
   to the Minor Planet Center is given.  Credit to the individual orbit
   computers is implicit by the inclusion of a reference and the name of
   the orbit computer on each orbit record.  Information on how to obtain
   updated copies of the datafile must also be included.

   The work of the individual astrometric observers, without whom none of
   the work of the Minor Planet Center would be possible, is gratefully
   acknowledged.  Credit to the individual observers is implicit by the
   inclusion of the reference to the publication of their observations in
   all data sets distributed by the Minor Planet Center.

New versions of this file, updated on a daily basis, will be available at:

          http://www.minorplanetcenter.org/iau/MPCORB/MPCORB.DAT

The elements contained within MPCORB are divided into three sections,
separated by blank lines.  The first section contains the numbered objects,
the second section contains the unnumbered objects with perturbed orbit
solutions and the third contains the recent 1-opposition objects with
unperturbed orbit solutions.  Each object's elements are stored on a single
line, the format of which is described at:

          http://www.minorplanetcenter.org/iau/info/MPOrbitFormat.html

A brief header is given below:

Des'n     H     G   Epoch     M        Peri.      Node       Incl.       e            n           a        Reference #Obs #Opp    Arc    rms  Perts   Computer

----------------------------------------------------------------------------------------------------------------------------------------------------------------
00001    3.34  0.12 K134I 327.85412   72.16707   80.33008   10.59423  0.0761669  0.21402110   2.7679930  0 MPO247369  6342 100 1802-2012 0.60 M-v 30h MPCLINUX   0000      (1) Ceres              20121203
00002    4.13  0.11 K134I 310.04462  309.95442  173.11974   34.83680  0.2314997  0.21355547   2.7720151  0 MPO219503  7566  96 1827-2011 0.59 M-v 28h MPCLINUX   0000      (2) Pallas             20111123
00003    5.33  0.32 K134I 257.63928  248.30984  169.88278   12.97937  0.2553054  0.22581776   2.6707341  0 MPO247369  6535  97 1824-2012 0.60 M-v 38h MPCLINUX   0000      (3) Juno               20121007
00004    3.20  0.32 K134I 218.17155  150.94008  103.85019    7.13991  0.0882571  0.27143216   2.3624458  0 MPO253359  6621  88 1827-2013 0.60 M-p 18h MPCLINUX   0000      (4) Vesta              20130201
00005    6.85  0.15 K134I 117.11980  358.85091  141.59723    5.36723  0.1907416  0.23856139   2.5747552  0 MPO250188  1925  71 1845-2012 0.60 M-v 38h MPCLINUX   0000      (5) Astraea            20120623
00006    5.71  0.24 K134I 232.72225  239.37712  138.71044   14.74654  0.2017542  0.26086353   2.4258306  0 MPO250188  5256  85 1848-2013 0.55 M-v 38h MPCLINUX   0007      (6) Hebe               20130121
00007    5.51  0.15 K134I 271.79314  145.38098  259.63714    5.52450  0.2304693  0.26737519   2.3862832  0 MPO234839  4726  79 1848-2012 0.60 M-v 38h MPCLINUX   0000      (7) Iris               20120720
00008    6.49  0.28 K134I 250.94554  285.32996  110.92216    5.88785  0.1562033  0.30169179   2.2017114  0 MPO250188  2036  80 1847-2012 0.68 M-v 38h MPCLINUX   0000      (8) Flora              20120614
00009    6.28  0.17 K134I  49.27220    5.82053   68.94445    5.57523  0.1226962  0.26743715   2.3859146  0 MPO253359  2219  72 1849-2013 0.63 M-v 38h MPCLINUX   0000      (9) Metis              20130202
00010    5.43  0.15 K134I 121.95663  312.75812  283.41815    3.84190  0.1161087  0.17738834   3.1370348  0 MPO247369  2622  84 1849-2012 0.60 M-v 38h MPCLINUX   0000     (10) Hygiea             20121209
