R     Cam ,M         , 6.97 ,14.4  ,2443978.      ,  270.22        ,45 
S     Cam ,SRA       , 7.7  ,11.6  ,2443360.      ,  327.26        ,51 
T     Cam ,M         , 7.3  ,14.4  ,2443433.      ,  373.20        ,47 
V     Cam ,M         , 7.7  ,16.0  ,2443402.      ,  522.45        ,31 
W     Cam ,M         ,10.8  ,14.5  ,2435213.      ,  283.6         ,   
X     Cam ,M         , 7.4  ,14.2  ,2444679.      ,  143.56        ,49 
Y     Cam ,EA+DSCTC  ,10.50 ,12.24 ,2442961.92757 ,    3.3056244   ,16 
RR    Cam ,SRA       , 9.5  ,11.3  ,2437750.      ,  123.88        ,44 
RS    Cam ,SRB       , 7.9  , 9.7  ,2427143.      ,   88.6         ,45 
RT    Cam ,M         ,10.2  ,14.0  ,2443837.      ,  366.31        ,   
RV    Cam ,SRB       , 9.3  ,10.6  ,2428861.      ,  101.          ,   
RW    Cam ,DCEP      , 8.20 , 9.10 ,2437389.57    ,   16.41437     ,34 
RX    Cam ,DCEP      , 7.30 , 8.07 ,2442766.583   ,    7.912024    ,28 
RY    Cam ,SRB       , 8.9  ,11.0  ,2439238.      ,  135.75        ,   
RZ    Cam ,RRAB      ,12.09 ,13.30 ,2439418.983   ,    0.48044941  ,05 
SS    Cam ,EA/SD/RS  ,10.05 ,10.62 ,2435223.672   ,    4.8242541   ,20 
SU    Cam ,M         , 8.9  ,12.6  ,2444265.      ,  285.03        ,   
SV    Cam ,EA/DW/RS  , 8.40 , 9.11,2442594.61518 ,    0.59306995  ,17 
SW    Cam ,M         , 9.8  ,13.3  ,2443419.      ,  252.8         ,   
SX    Cam ,M         ,10.8  ,15.5  ,2441650.      ,  393.3         ,   
SZ    Cam ,EA/DM     , 7.0  , 7.29 ,2441665.2516  ,    2.6985439   ,17 
TT    Cam ,M         ,11.8  ,15.5  ,2428962.      ,  252.6         ,   
TU    Cam ,EB/DM     , 5.12 , 5.29 ,2438051.375   ,    2.933241    ,   
TV    Cam ,DCEP      ,11.22 ,12.21 ,2437407.35    ,    5.29497     ,32 
TW    Cam ,RVB       , 8.98 ,10.27 ,2438607.8     ,   87.22        ,   
TX    Cam ,M         ,11.6  ,17.68 ,2444215.      ,  557.4         ,   
TY    Cam ,RRAB      ,12.6  ,13.8  ,2428107.212   ,    0.670067    ,15 
TZ    Cam ,SRB       ,11.5  ,12.4  ,2428783.      ,  253.3         ,43 
UU    Cam ,RRC       ,11.8  ,12.3  ,2427160.516   ,    0.3412637   ,40 
UW    Cam ,SR        ,11.5  ,12.9  ,2429170.      ,  544.          ,63 
UY    Cam ,RRC       ,11.33 ,11.66 ,2435565.239   ,    0.26704234  ,45 
UZ    Cam ,M         ,12.4  ,14.5  ,2443773.      ,  225.64        ,   
VX    Cam ,M         ,13.2  ,15.5  ,2427160.      ,  265.7         ,   
VY    Cam ,SRA       ,12.4  ,13.6  ,2429093.      ,  227.          ,43 
WW    Cam ,EA/DM     ,10.6  ,11.1  ,2440381.534   ,    2.274367    ,09 
WY    Cam ,M         ,11.4  ,15.1  ,2433654.      ,  406.96        ,   
XY    Cam ,M:        ,12.8  ,14.5  ,2432420.      ,  268.          ,   
XZ    Cam ,EA/DS     ,11.4  ,14.4  ,2432468.503   ,   11.0146      ,08 
YY    Cam ,SR        ,12.3  ,14.8  ,2432373.      ,  219.          ,   
YZ    Cam ,M         ,12.0  ,14.4  ,2432490.      ,  362.          ,   
AB    Cam ,DCEP      ,11.35 ,12.34 ,2437406.586   ,    5.78764     ,32 
AC    Cam ,DCEP      ,13.6  ,15.0  ,2444520.664   ,    4.156769    ,20 
AD    Cam ,DCEP      ,12.9  ,14.7  ,2444113.470   ,   11.260991    ,36 
AE    Cam ,EA/SD     ,15.6  ,17.4  ,2443701.497   ,    1.226763    ,20 
AH    Cam ,RRAB      ,11.31 ,12.33 ,2438729.458   ,    0.3687346   ,21 
AK    Cam ,EA/SD:    ,10.3  ,10.9  ,2441515.390   ,    2.226835    ,11 
AL    Cam ,EA/SD:    ,10.5  ,11.3  ,2426411.523   ,    1.32833335  ,15 
AM    Cam ,CEP       ,14.3  ,15.5  ,2443851.53    ,    3.997197    ,25 
AN    Cam ,EA/DS     ,10.4  ,11.2  ,2426003.470   ,   20.9986      ,07 
AO    Cam ,EW/KW     , 9.5  ,10.   ,2444559.9604  ,    0.329917    ,   
AQ    Cam ,EA/SD     ,12.   ,16.   ,2430735.398   ,    3.10911     ,10 
AS    Cam ,EA/DM     , 8.57 , 9.19 ,2440204.5137  ,    3.4309714   ,08 
AT    Cam ,EW/DM:    , 9.8  ,10.6  ,2426057.475   ,    1.39590     ,   
AU    Cam ,SRA       ,10.0  ,10.7  ,2438140.      ,  366.          ,30 
AV    Cam ,EA/KE:    ,11.6  ,12.1  ,2426251.410   ,    1.444917    ,13 
AW    Cam ,EB/KE     , 8.22 , 8.66 ,2438738.452   ,    0.7713468   ,   
AX    Cam ,ACV       , 5.95 , 6.08 ,2441701.41    ,    8.0278      ,40 
AY    Cam ,EA/DM     , 9.69 ,10.26 ,2439385.5084  ,    2.7349658   ,13 
AZ    Cam ,EB/DM     ,10.1  ,10.9  ,2440655.4792  ,    1.319226    ,   
BC    Cam ,ACV       , 6.43 , 6.48 ,2441254.08    ,    4.285       ,   
BL    Cam ,SXPHE     ,12.92 ,13.25 ,2443125.8048  ,    0.03909760  ,41 
BM    Cam ,RS        , 6.18 , 6.32,2444288.8     ,   82.8         ,   
BN    Cam ,ACV       , 5.3  , 5.35,2441252.91    ,    0.7325      ,   
