R     Oct ,M         , 6.4  ,13.2  ,2441985.      ,  405.39        ,44 
S     Oct ,M         , 7.2  ,14.0  ,2442032.      ,  259.00        ,42 
T     Oct ,M         , 8.8  ,14.8  ,2439504.      ,  218.50        ,51 
U     Oct ,M         , 7.0  ,14.1  ,2441915.      ,  308.44        ,47 
V     Oct ,M:        ,11.6  ,13.0  ,2428840.      ,  289.47        ,   
X     Oct ,SRA       , 8.7  ,12.7  ,2428885.      ,  206.80        ,   
Y     Oct ,RRAB      ,11.3  ,12.8  ,2428378.650   ,    0.646626    ,15 
Z     Oct ,M         ,11.0  ,13.5  ,2413825.      ,  335.          ,   
RR    Oct ,M         ,10.1  ,13.5  ,2428881.      ,  272.83        ,   
RS    Oct ,RRAB      ,12.2  ,13.4  ,2436329.523   ,    0.4580092   ,32 
RT    Oct ,M         ,10.4  ,14.6  ,2436063.      ,  180.16        ,   
RU    Oct ,M         ,10.2  ,15.   ,2413443.      ,  373.          ,   
RV    Oct ,RRAB      ,11.6  ,12.1  ,2415116.665   ,    0.5711625   ,11 
RY    Oct ,RRAB      ,10.4  ,12.1  ,2427987.453   ,    0.563469    ,36 
SS    Oct ,RRAB      ,10.8  ,12.1  ,2428020.607   ,    0.621825    ,13 
SU    Oct ,M         ,13.5  ,17.   ,2424811.      ,  255.          ,   
SV    Oct ,M:        ,11.0  ,12.8  ,2424780.      ,  271.          ,   
SW    Oct ,SRA       ,11.3  ,11.9  ,2423980.      ,  382.          ,   
SX    Oct ,RRAB      ,15.0  ,16.2  ,2425441.60    ,    0.62774     ,   
SY    Oct ,RRAB      ,13.9  ,15.7  ,2425447.60    ,    0.41247     ,   
SZ    Oct ,RRAB      ,14.7  ,16.1  ,2425451.45    ,    0.58341     ,   
TT    Oct ,RRAB      ,12.9  ,13.7  ,2425447.60    ,    0.56772     ,   
TW    Oct ,SRA       , 9.9  ,12.2  ,2428695.      ,  132.          ,45 
TX    Oct ,EA/SD     ,12.6  ,13.9  ,2436835.386   ,    0.907137    ,20 
UV    Oct ,RRAB      , 8.70 , 9.97 ,2434328.396   ,    0.542625    ,   
UW    Oct ,RRAB      ,12.3  ,13.0  ,2434337.409   ,    0.444490    ,15 
UY    Oct ,RRAB      ,14.5  ,15.4  ,2436548.383   ,    0.6005444   ,14 
UZ    Oct ,EB/KE     , 9.03 , 9.56 ,2442064.44803 ,    1.1493549   ,   
VW    Oct ,RRAB      ,14.5  ,15.0  ,2436329.114   ,    0.540803    ,17 
VX    Oct ,RRAB      ,16.3  ,17.0  ,2436729.440   ,    0.6243      ,12 
VY    Oct ,RRAB      ,13.8  ,15.3  ,2436731.480   ,    0.461       ,18 
WW    Oct ,RRAB      ,13.7  ,15.3  ,2436732.540   ,    0.46845     ,15 
WX    Oct ,RRAB      ,14.6  ,15.6  ,2436731.460   ,    0.6991      ,15 
WY    Oct ,RRAB      ,15.5  ,16.4  ,2436736.560   ,    0.45885     ,25 
XY    Oct ,RRC       ,14.6  ,15.2  ,2436728.51    ,    0.3855      ,30 
XZ    Oct ,RRAB      ,12.9  ,13.7  ,2436730.500   ,    0.4738      ,20 
YY    Oct ,RRAB      ,13.5  ,14.1  ,2436729.470   ,    0.5725      ,20 
YZ    Oct ,RRAB      ,15.4  ,16.2  ,2436728.480   ,    0.6034      ,15 
ZZ    Oct ,RRAB      ,14.7  ,16.0  ,2436728.510   ,    0.4426      ,20 
AA    Oct ,CWA       ,15.1  ,15.8  ,2436732.      ,   29.          ,10 
AB    Oct ,RRAB      ,15.0  ,15.7  ,2436731.490   ,    0.4553      ,25 
AC    Oct ,RRAB      ,13.5  ,14.6  ,2436773.295   ,    0.4995      ,15 
AD    Oct ,SR:       ,13.0  ,13.8  ,2436755.      ,   60.          ,   
AE    Oct ,RRAB      ,13.1  ,14.7  ,2436728.480   ,    0.5667      ,17 
AF    Oct ,RRC       ,12.6  ,13.2  ,2436329.363   ,    0.36849     ,30 
AG    Oct ,RRAB      ,15.1  ,16.0  ,2436728.550   ,    0.5524      ,10 
AH    Oct ,RRAB      ,15.1  ,16.1  ,2436730.470   ,    0.5435      ,15 
AI    Oct ,RRAB      ,13.3  ,14.6  ,2436730.490   ,    0.5526      ,17 
AK    Oct ,RRAB      ,15.2  ,16.0  ,2436731.470   ,    0.5593      ,15 
AL    Oct ,RRC       ,14.6  ,15.3  ,2436735.517   ,    0.3485      ,40 
AM    Oct ,EW        ,14.4  ,15.1  ,2436728.540   ,    0.5017      ,   
AN    Oct ,RRAB      ,15.6  ,16.5  ,2436728.480   ,    0.4586      ,20 
AP    Oct ,RRAB      ,12.4  ,13.6  ,2436329.839   ,    0.605365    ,12 
AR    Oct ,RRAB      ,12.2  ,13.5  ,2436840.420   ,    0.39362     ,14 
AS    Oct ,RRAB      ,13.8  ,14.9  ,2436760.634   ,    0.4143      ,20 
AT    Oct ,RRAB      ,15.0  ,15.9  ,2436735.620   ,    0.5937      ,30 
AV    Oct ,RRAB      ,14.4  ,15.6  ,2436329.376   ,    0.470618    ,25 
AX    Oct ,RRAB      ,15.4  ,16.3  ,2436759.610   ,    0.6877      ,20 
BB    Oct ,RRAB      ,16.0  ,16.9  ,2436758.628   ,    0.4755      ,20 
BD    Oct ,RRAB      ,16.3  ,17.1  ,2436780.45    ,    0.6991      ,20 
BF    Oct ,RRAB      ,16.2  ,17.0  ,2436765.600   ,    0.5602      ,20 
BG    Oct ,RRAB      ,16.0  ,16.8  ,2436735.610   ,    0.5992      ,   
BH    Oct ,EA        ,15.5  ,16.2  ,2436731.480   ,    0.5652      ,25 
BI    Oct ,RRAB      ,14.8  ,15.9  ,2436736.570   ,    0.5265      ,15 
BK    Oct ,EW/KW     ,14.3  ,14.8  ,2436732.537   ,    0.3686      ,   
BL    Oct ,EA        ,13.2  ,14.1  ,2436747.430   ,    3.903       ,06 
BM    Oct ,E         ,11.4  ,12.2  ,2428702.550   ,    3.70898     ,   
BN    Oct ,RRAB      ,12.8  ,14.8  ,2436735.480   ,    0.5081      ,20 
