R     Ori ,M         , 9.05 ,13.4  ,2441391.      ,  377.1         ,40 
S     Ori ,M         , 7.2  ,14.0  ,2443945.      ,  414.30        ,48 
U     Ori ,M         , 4.8  ,13.0  ,2445254.      ,  368.3         ,38 
V     Ori ,M         , 8.9  ,14.7  ,2439082.      ,  263.7         ,49 
X     Ori ,M         ,11.4  ,15.5  ,2443451.      ,  422.2         ,   
Y     Ori ,M         ,11.5  ,16.   ,2434768.      ,  271.3         ,   
Z     Ori ,EA/DS     , 9.8  ,10.7  ,2425190.720   ,    5.203265    ,12 
RR    Ori ,M         , 9.1  ,14.7  ,2444240.      ,  251.78        ,   
RS    Ori ,DCEP      , 8.01 , 8.88 ,2442820.794   ,    7.566881    ,32 
UW    Ori ,EB/KE     ,11.1  ,11.6  ,2419822.869   ,    1.0080525   ,   
VV    Ori ,EA/KE:    , 5.31 , 5.66 ,2440890.5158  ,    1.4853784   ,20 
BK    Ori ,M         , 9.2  ,14.   ,2440925.      ,  354.2         ,50 
BM    Ori ,EA        , 7.90 , 8.65 ,2440265.343   ,    6.470525    ,10 
BR    Ori ,M         ,11.0  ,15.5  ,2435123.      ,  159.2         ,   
CL    Ori ,M         ,11.5  ,15.8  ,2434020.      ,  215.0         ,   
CM    Ori ,RRAB      ,12.13 ,13.17 ,2425298.451   ,    0.65592205  ,15 
CP    Ori ,EA        ,11.1  ,12.2  ,2436130.441   ,    5.32053     ,12 
CQ    Ori ,EA        ,12.2  ,13.4  ,2438455.21    ,    2.74016     ,14 
CR    Ori ,DCEP      ,11.99 ,12.58 ,2425234.2     ,    4.91075     ,35 
CS    Ori ,DCEP      ,10.85 ,11.80 ,2437258.156   ,    3.88939     ,23 
CT    Ori ,RV:       , 9.14 ,12.39 ,2425649.      ,  135.52        ,   
CU    Ori ,DCEP      ,13.5  ,14.4  ,2425243.56    ,    2.15993     ,50 
CV    Ori ,DCEP      ,14.0  ,15.1  ,2425217.51    ,    3.55976     ,26 
CW    Ori ,EB/D      ,13.1  ,13.5  ,2425202.63    ,    4.78505     ,   
CX    Ori ,SR:       ,13.5  ,14.5  ,2425600.      ,  100.          ,   
DE    Ori ,EA        ,14.5  ,16.4  ,2425235.37    ,    9.241       ,   
DF    Ori ,DCEP      ,13.8  ,14.8  ,2425243.69    ,    3.1807      ,24 
DG    Ori ,M         ,13.   ,16.   ,2426642.      ,  450.          ,   
DH    Ori ,SRA       , 9.4  ,11.7  ,2427881.      ,  165.3         ,39 
DN    Ori ,EA/DS     , 9.8  ,11.1  ,2435577.20    ,   12.96641     ,08 
DP    Ori ,SRB       ,10.5  ,12.5  ,2433260.      ,   90.          ,   
DQ    Ori ,SRA       ,12.3  ,13.6  ,2425212.      ,  133.          ,   
DT    Ori ,M         ,12.4  ,19.   ,2425490.      ,  429.          ,   
DX    Ori ,EA/SD     ,13.5  ,16.0  ,2425301.29    ,    4.2529      ,   
DZ    Ori ,EA/SD:    ,12.1  ,13.0  ,2425243.53    ,    1.83614     ,14 
EF    Ori ,EA        ,13.6  ,14.8  ,2425247.54    ,    3.7012      ,   
EG    Ori ,EA/SD     ,12.6  ,14.1  ,2425245.41    ,    1.163166    ,18 
EH    Ori ,EA/SD:    ,13.3  ,14.3  ,2425217.43    ,    1.51357     ,12 
EK    Ori ,M         ,13.3  ,16.9  ,2425235.      ,  148.          ,   
