R     Pic ,SR        , 6.35 ,10.1  ,2444922.      ,  170.9         ,   
S     Pic ,M         , 6.5  ,14.0  ,2439595.      ,  428.0         ,36 
T     Pic ,M         , 7.9  ,14.4  ,2441283.      ,  200.58        ,49 
U     Pic ,RRAB      ,10.68 ,11.87 ,2441666.449   ,    0.4403710   ,12 
V     Pic ,SR        , 8.65 ,10.22 ,2428730.      ,  180.          ,   
X     Pic ,EA/SD     ,10.7  ,11.8  ,2429112.169   ,    0.8619043   ,19 
RU    Pic ,M         ,10.8  ,15.0  ,2430055.      ,  207.9         ,   
RV    Pic ,EA/DM     , 9.64 ,12.09 ,2441286.757   ,    3.971780    ,09 
RW    Pic ,M         ,10.2  ,13.8  ,2428794.      ,  287.          ,   
RY    Pic ,M         ,10.6  ,14.1  ,2438378.      ,  219.          ,   
RZ    Pic ,M         ,10.0  ,14.0  ,2438731.      ,  311.          ,   
SS    Pic ,SR:       , 9.9  ,10.7  ,2438375.2     ,   57.5         ,   
ST    Pic ,RR        , 9.29 , 9.77 ,2442034.450   ,    0.48574     ,22 
SU    Pic ,EA/DM     ,10.15 ,10.64 ,2428815.475   ,    1.838115    ,   
SZ    Pic ,RS        , 7.81 , 7.97 ,2443931.54    ,    2.441       ,   
del   Pic ,EB/D:     , 4.65 , 4.90 ,2441695.336   ,    1.672541    ,   
