R     Sgr ,M         , 6.7  ,12.83 ,2443371.      ,  269.84        ,46 
S     Sgr ,M         , 9.5  ,16.0  ,2440478.      ,  230.64        ,45 
T     Sgr ,M         , 7.1  ,12.9  ,2444897.      ,  394.66        ,47 
U     Sgr ,DCEP      , 6.28 , 7.15 ,2430117.925   ,    6.745226    ,28 
W     Sgr ,DCEP      , 4.29 , 5.14 ,2443374.77    ,    7.59503     ,32 
X     Sgr ,DCEP      , 4.20 , 4.90 ,2440741.70    ,    7.01283     ,36 
Y     Sgr ,DCEP      , 5.25 , 6.24 ,2440762.38    ,    5.77335     ,34 
Z     Sgr ,M         , 8.4  ,16.0  ,2439250.      ,  450.41        ,47 
RR    Sgr ,M         , 5.4  ,14.0  ,2440809.      ,  336.33        ,43 
RS    Sgr ,EA/SD     , 6.01 , 6.97 ,2420586.387   ,    2.4156832   ,17 
RT    Sgr ,M         , 6.0  ,14.1  ,2442083.      ,  306.46        ,47 
RU    Sgr ,M         , 6.0  ,13.8  ,2441900.      ,  240.49        ,43 
RV    Sgr ,M         , 7.2  ,14.8  ,2442621.      ,  315.85        ,47 
RW    Sgr ,SRA       , 9.0  ,11.7  ,2441931.      ,  186.82        ,47 
RX    Sgr ,M         , 9.0  ,14.4  ,2442171.      ,  335.23        ,49 
ST    Sgr ,M         , 7.2  ,16.0  ,2440463.      ,  395.12        ,44 
SW    Sgr ,M         , 9.4  ,14.8  ,2439275.      ,  289.9         ,51 
SX    Sgr ,EA/SD     , 9.51 ,10.72 ,2444048.161   ,    4.15406     ,13 
TT    Sgr ,M         ,10.6  ,17.7  ,2433845.      ,  332.8         ,   
TV    Sgr ,M         ,10.0  ,13.5  ,2429064.      ,  266.25        ,   
TW    Sgr ,M         , 9.1  ,13.5  ,2436465.      ,  220.63        ,   
TX    Sgr ,M         ,10.   ,14.   ,2436431.      ,  246.73        ,   
TY    Sgr ,M         , 9.1  ,15.2  ,2440056.      ,  325.41        ,44 
TZ    Sgr ,M         ,11.5  ,14.5  ,2429058.      ,  281.64        ,   
UU    Sgr ,M         ,10.   ,14.   ,2430202.      ,  267.82        ,   
UV    Sgr ,M         ,10.8  ,16.5  ,2428290.      ,  231.41        ,   
UY    Sgr ,M         ,14.0  ,17.0  ,2429120.      ,  266.3         ,   
UZ    Sgr ,M         ,12.5  ,17.0  ,2429430.      ,  222.          ,   
VV    Sgr ,M         ,12.1  ,14.8  ,2420703.      ,  401.5         ,   
VX    Sgr ,SRC       , 6.52 ,14.0  ,2436493.      ,  732.          ,   
VY    Sgr ,DCEP      ,10.86 ,11.98 ,2436235.469   ,   13.5572      ,34 
