R     UMa ,M         , 6.5  ,13.7  ,2445593.      ,  301.62        ,39 
S     UMa ,M         , 7.1  ,12.7  ,2445778.      ,  225.87        ,47 
T     UMa ,M         , 6.6  ,13.5  ,2445623.      ,  256.60        ,41 
W     UMa ,EW/KW     , 7.75 , 8.48 ,2445765.7385  ,    0.33363749  ,   
X     UMa ,M         , 8.1  ,14.8  ,2445707.      ,  249.04        ,43 
RR    UMa ,M         , 8.6  ,14.2  ,2445719.      ,  230.58        ,43 
RS    UMa ,M         , 8.3  ,14.9  ,2445991.      ,  258.97        ,42 
RU    UMa ,M         , 8.1  ,15.0  ,2445687.      ,  252.46        ,30 
RV    UMa ,RRAB      , 9.81 ,11.30 ,2445075.511   ,    0.468060    ,20 
RW    UMa ,EA/D/RS   ,10.16 ,11.72 ,2445823.412   ,    7.328238    ,08 
SV    UMa ,SRD       , 9.1  ,10.6  ,2444705.      ,   76.          ,45 
SX    UMa ,RRC       ,10.58 ,11.21 ,2445109.333   ,    0.3071178   ,38 
TU    UMa ,RRAB      , 9.26 ,10.24 ,2442831.4947  ,    0.5576587   ,16 
TW    UMa ,EA/SD     ,12.2  ,14.5  ,2445447.535   ,    2.1668246   ,14 
TX    UMa ,EA/SD     , 7.06 , 8.80 ,2444998.1475  ,    3.0632382   ,12 
TY    UMa ,EW/KW     ,11.48 ,12.14 ,2439532.4965  ,    0.354538609 ,   
UU    UMa ,RRAB      ,13.0  ,14.0  ,2427572.434   ,    0.644810    ,   
UV    UMa ,SRA       ,10.2  ,11.5  ,2429219.      ,   65.65        ,47 
UX    UMa ,EA/WD+NL  ,12.57 ,14.15 ,2437432.8204  ,    0.19667128  ,15 
UY    UMa ,EW/KW     ,12.7  ,12.9  ,2427586.466   ,    0.376016    ,   
UZ    UMa ,RRAB      ,13.1  ,15.0  ,2428157.330   ,    0.4668795   ,20 
VV    UMa ,EA/SD     ,10.13 ,10.91 ,2445815.3365  ,    0.687380    ,19 
VX    UMa ,M         ,11.7  ,14.5  ,2435480.      ,  215.2         ,   
XY    UMa ,EB/DW/RS  , 9.50 ,10.17,2435216.5011  ,    0.478994587 ,   
